Hours,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,315.0,301.8,354.6,430.0,615.0,1110.25,1090.0
1,153.25,155.8,193.2,231.4,385.25,788.25,829.5
2,109.75,111.2,156.0,171.0,264.75,580.0,638.25
3,254.75,187.0,224.0,256.6,307.5,426.0,477.0
4,403.75,296.6,326.0,376.8,339.75,271.75,245.5
5,615.25,546.0,559.8,586.2,497.25,274.25,231.25
6,911.0,962.2,1003.4,959.2,736.75,303.5,256.75
7,1266.5,1350.0,1425.8,1341.8,1008.0,398.5,316.25
8,1199.25,1332.4,1425.0,1336.6,1038.0,525.25,466.75
9,923.0,1012.2,1083.8,1077.0,907.75,667.0,657.5
10,855.75,977.4,1035.2,1014.2,875.75,823.25,801.25
11,873.0,987.8,1053.0,1074.0,918.5,886.25,958.75
12,878.0,1030.8,1085.0,1102.0,948.0,924.25,952.5
13,979.5,1316.6,1222.0,1255.0,1154.75,956.5,1125.25
14,1151.0,1510.2,1445.8,1488.6,1364.25,1122.75,1145.5
15,1264.25,1590.2,1743.8,1730.8,1507.75,1269.75,1140.5
16,1570.75,1843.8,2084.2,1938.2,1610.0,1370.5,1216.75
17,1832.0,2342.4,2333.8,2097.0,1664.25,1370.75,1231.5
18,1637.75,2198.4,2347.8,2240.6,1670.5,1459.5,1065.75
19,1594.5,1996.6,2112.6,2169.6,1486.75,1228.25,925.0
20,1575.75,1956.2,2098.2,2035.4,1424.75,1349.0,1003.0
21,1410.0,1659.4,1950.2,1909.0,1663.5,1475.25,935.0
22,957.0,1161.2,1455.0,1715.6,1775.75,1584.25,822.75
23,566.5,664.6,825.2,1151.2,1519.25,1400.0,549.5
